DATE_TIME,Solar_AC_Power,National Hourly Demand
2020-05-19 18:00:00,12.956190476190477,131374.16
2020-05-19 19:00:00,0.0,139627.36
2020-05-19 20:00:00,0.0,143719.18
2020-05-19 21:00:00,0.0,146380.36
2020-05-19 22:00:00,0.0,149066.82
2020-05-19 23:00:00,0.0,147556.06
2020-05-20 00:00:00,0.0,142814.11
2020-05-20 01:00:00,0.0,139114.54
2020-05-20 02:00:00,0.0,136581.77
2020-05-20 03:00:00,0.0,134817.14
2020-05-20 04:00:00,0.0,133043.56
2020-05-20 05:00:00,0.0,132578.86
2020-05-20 06:00:00,697.1953571428571,132940.46
2020-05-20 07:00:00,3587.765,134451.17
2020-05-20 08:00:00,7107.720238095238,136019.44
2020-05-20 09:00:00,8775.18738095238,138860.0
2020-05-20 10:00:00,5074.558214285714,139477.38
2020-05-20 11:00:00,3695.5,138404.84
2020-05-20 12:00:00,5188.2575,139239.46
2020-05-20 13:00:00,4802.3405952380945,139447.49
2020-05-20 14:00:00,13178.8675,142221.7
2020-05-20 15:00:00,18242.599523809524,143597.96
2020-05-20 16:00:00,9589.955595238094,141977.95
2020-05-20 17:00:00,5305.0216666666665,136446.01
2020-05-20 18:00:00,920.3829761904761,128811.94
2020-05-20 19:00:00,0.0,136618.67
2020-05-20 20:00:00,0.0,139901.92
2020-05-20 21:00:00,0.0,141972.82
2020-05-20 22:00:00,0.0,144664.15
2020-05-20 23:00:00,0.0,143614.14
2020-05-21 00:00:00,0.0,141204.74
2020-05-21 01:00:00,0.0,138076.82
2020-05-21 02:00:00,0.0,135236.07
2020-05-21 03:00:00,0.0,133427.73
2020-05-21 04:00:00,0.0,131672.91
2020-05-21 05:00:00,0.0,131353.81
2020-05-21 06:00:00,1197.1675,131916.59
2020-05-21 07:00:00,5090.203214285714,132976.19
2020-05-21 08:00:00,10301.335,136024.92
2020-05-21 09:00:00,11985.65011904762,139848.95
2020-05-21 10:00:00,7279.5935714285715,141560.87
2020-05-21 11:00:00,11479.799880952381,141242.03
2020-05-21 12:00:00,11525.630119047619,141595.23
2020-05-21 13:00:00,15560.072261904763,139405.5
2020-05-21 14:00:00,18514.403214285714,142881.01
2020-05-21 15:00:00,13757.44738095238,145298.61
2020-05-21 16:00:00,9324.897619047619,144011.05
2020-05-21 17:00:00,4203.791904761904,138215.96
2020-05-21 18:00:00,535.3492857142858,132706.81
2020-05-21 19:00:00,0.0,140450.1
2020-05-21 20:00:00,0.0,144393.41
2020-05-21 21:00:00,0.0,148048.94
2020-05-21 22:00:00,0.0,150561.14
2020-05-21 23:00:00,0.0,149858.8
2020-05-22 00:00:00,0.0,147452.41
2020-05-22 01:00:00,0.0,144202.06
2020-05-22 02:00:00,0.0,140985.11
2020-05-22 03:00:00,0.0,139803.67
2020-05-22 04:00:00,0.0,138136.57
2020-05-22 05:00:00,0.8833333333333333,138463.93
2020-05-22 06:00:00,1496.9453571428571,137716.1
2020-05-22 07:00:00,5898.092380952381,139331.15
2020-05-22 08:00:00,11544.568214285715,141874.6
2020-05-22 09:00:00,12492.567023809523,144263.78
2020-05-22 10:00:00,12230.391547619049,146678.74
2020-05-22 11:00:00,12417.686071428572,148070.67
2020-05-22 12:00:00,12525.894166666667,148953.66
2020-05-22 13:00:00,12405.241831501831,150734.51
2020-05-22 14:00:00,13200.532023809523,153739.13
2020-05-22 15:00:00,14051.115952380951,155815.14
2020-05-22 16:00:00,9355.956547619047,153276.81
2020-05-22 17:00:00,3984.457857142857,144585.35
2020-05-22 18:00:00,248.6529761904762,138138.29
2020-05-22 19:00:00,0.0,144144.46
2020-05-22 20:00:00,0.0,149593.1
2020-05-22 21:00:00,0.0,152613.27
2020-05-22 22:00:00,0.0,155811.61
2020-05-22 23:00:00,0.0,155639.9
2020-05-23 00:00:00,0.0,153442.71
2020-05-23 01:00:00,0.0,150455.04
2020-05-23 02:00:00,0.0,147312.42
2020-05-23 03:00:00,0.0,145889.97
2020-05-23 04:00:00,0.0,144260.42
2020-05-23 05:00:00,0.0,143327.43
2020-05-23 06:00:00,1244.8270238095238,142604.0
2020-05-23 07:00:00,5452.821547619047,143343.65
2020-05-23 08:00:00,10968.189761904761,144436.48
2020-05-23 09:00:00,13508.730833333333,147643.21
2020-05-23 10:00:00,12414.843333333332,148466.55
2020-05-23 11:00:00,12418.100952380953,149551.37
2020-05-23 12:00:00,12740.478095238095,151150.61
2020-05-23 13:00:00,13130.281904761905,152940.83
2020-05-23 14:00:00,13548.800119047619,157068.77
2020-05-23 15:00:00,13708.490476190476,159056.96
2020-05-23 16:00:00,9013.40011904762,154866.35
2020-05-23 17:00:00,3974.4836904761905,147476.55
2020-05-23 18:00:00,489.1797619047619,140348.83
2020-05-23 19:00:00,0.0,148124.0
2020-05-23 20:00:00,0.0,152746.6
2020-05-23 21:00:00,0.0,155818.23
2020-05-23 22:00:00,0.0,160298.7
2020-05-23 23:00:00,0.0,160219.88
2020-05-24 00:00:00,0.0,157386.56
2020-05-24 01:00:00,0.0,154481.07
2020-05-24 02:00:00,0.0,151580.7
2020-05-24 03:00:00,0.0,149736.64
2020-05-24 04:00:00,0.0,148620.19
2020-05-24 05:00:00,0.0,148426.97
2020-05-24 06:00:00,1295.7171428571428,146106.53
2020-05-24 07:00:00,5315.378571428571,146130.59
2020-05-24 08:00:00,11059.738928571429,147237.9
2020-05-24 09:00:00,14500.805476190475,148551.7
2020-05-24 10:00:00,12254.224642857143,147660.08
2020-05-24 11:00:00,10432.877738095238,149567.16
2020-05-24 12:00:00,10378.887619047619,150552.66
2020-05-24 13:00:00,11387.430952380952,151322.3
2020-05-24 14:00:00,12990.710357142856,154011.25
2020-05-24 15:00:00,14118.893452380951,155628.75
2020-05-24 16:00:00,9215.350952380952,152372.8
2020-05-24 17:00:00,3674.0190476190473,145388.69
2020-05-24 18:00:00,528.324880952381,138055.71
2020-05-24 19:00:00,0.0,145814.0
2020-05-24 20:00:00,0.0,151402.05
2020-05-24 21:00:00,0.0,154998.99
2020-05-24 22:00:00,0.0,158905.18
2020-05-24 23:00:00,0.0,159018.84
2020-05-25 00:00:00,0.0,157160.17
2020-05-25 01:00:00,0.0,154566.64
2020-05-25 02:00:00,0.0,151002.88
2020-05-25 03:00:00,0.0,148505.82
2020-05-25 04:00:00,0.0,147896.64
2020-05-25 05:00:00,0.0,148365.23
2020-05-25 06:00:00,1432.0774999999999,148333.53
2020-05-25 07:00:00,5367.757619047619,149384.84
2020-05-25 08:00:00,10408.32261904762,150937.06
2020-05-25 09:00:00,14905.888928571429,153827.53
2020-05-25 10:00:00,16660.184404761905,155042.41
2020-05-25 11:00:00,16834.21523809524,156596.87
2020-05-25 12:00:00,17141.302142857145,157100.88
2020-05-25 13:00:00,17068.585119047617,156430.9
2020-05-25 14:00:00,17309.337023809523,157451.04
2020-05-25 15:00:00,14262.987738095238,158853.5
2020-05-25 16:00:00,8839.723452380951,155524.89
2020-05-25 17:00:00,2102.0508333333337,148198.76
2020-05-25 18:00:00,61.631904761904764,141746.11
2020-05-25 19:00:00,0.0,148637.5
2020-05-25 20:00:00,0.0,153366.86
2020-05-25 21:00:00,0.0,156961.36
