Model,MAE,RMSE,R2
linear_regression,1526.9619624755317,2254.0088848224877,0.8832230662277815
random_forest,1665.577817295593,2274.2091630419113,0.8811205928618037
gradient_boosting,1499.3398623571225,1903.3329827995403,0.9167325303157454
