,MAE,RMSE,R2
linear_regression,524.8109304759835,620.9636217096097,0.5326707429957913
random_forest,498.773123498265,646.1069821986192,0.49405941033838796
gradient_boosting,495.1045776408627,649.0000271174371,0.48951841051930944
