,MAE,RMSE,R2
linear_regression,589.8635825280726,695.473751342243,0.4137914602338221
random_forest,538.045295890943,685.2855399314421,0.4308407611695336
gradient_boosting,523.7992958056286,677.4084091628214,0.44385015426753305
